n_constituents,precision,seed,class,fpr,tpr
8,FP32,1,q,0.0013296759674662113,0.033360901737552136
8,FP32,1,q,0.0013818733056536322,0.034486541467903795
8,FP32,1,q,0.0014361196859990787,0.03595993619904728
8,FP32,1,q,0.0014924955450518291,0.03748172867418957
8,FP32,1,q,0.0015510844769528406,0.038678446225796026
8,FP32,1,q,0.001611973357388157,0.03960529459461989
8,FP32,1,q,0.0016752524724082155,0.041600499866541046
8,FP32,1,q,0.0017410156523040153,0.043463825152024585
8,FP32,1,q,0.0018093604107387166,0.04450248166488147
8,FP32,1,q,0.0018803880893409146,0.046802255855068274
8,FP32,1,q,0.0019542040079740535,0.048371531817971276
8,FP32,1,q,0.002030917620904735,0.05017375215529927
8,FP32,1,q,0.0021106426791015548,0.05173063219292465
8,FP32,1,q,0.002193497398905058,0.05338891154691088
8,FP32,1,q,0.00227960463731898,0.05481197183034007
8,FP32,1,q,0.002369092074182632,0.05620987953084222
8,FP32,1,q,0.0024620924014946257,0.058468223233334865
8,FP32,1,q,0.0025587435201685866,0.05932413669802152
8,FP32,1,q,0.0026591887445126935,0.06142358881025935
8,FP32,1,q,0.0027635770147361573,0.06299842936834975
8,FP32,1,q,0.002872063117797828,0.06572063741773826
8,FP32,1,q,0.002984807916924324,0.06799657386454684
8,FP32,1,q,0.003101978590138097,0.06996225552419875
8,FP32,1,q,0.0032237488781490303,0.07208443171658567
8,FP32,1,q,0.0033502993419772297,0.07517554438030798
8,FP32,1,q,0.0034818176306889667,0.07781462826855537
8,FP32,1,q,0.0036184987596427466,0.08054798369368177
8,FP32,1,q,0.0037605453996581717,0.083588531085277
8,FP32,1,q,0.003908168177536264,0.08767885890425134
8,FP32,1,q,0.00406158598837698,0.0913060203558018
8,FP32,1,q,0.0042210263201568985,0.09356583594368327
8,FP32,1,q,0.0043867255910484985,0.09736776411312999
8,FP32,1,q,0.00455892949998106,0.10153247618036002
8,FP32,1,q,0.004737893390963144,0.10453634536726816
8,FP32,1,q,0.0049238826317067365,0.10801166931046063
8,FP32,1,q,0.005117173007114605,0.11173530697934705
8,FP32,1,q,0.005318051128214197,0.1146113885231812
8,FP32,1,q,0.005526814857144603,0.1179171865468658
8,FP32,1,q,0.005743773748826581,0.12094827622565835
8,FP32,1,q,0.005969249509970733,0.12467296412167614
8,FP32,1,q,0.0062035764761042686,0.12873977433136635
8,FP32,1,q,0.006447102107323869,0.13455664754184746
8,FP32,1,q,0.006700187503509584,0.13828901624241166
8,FP32,1,q,0.006963207939763883,0.1420122539068921
8,FP32,1,q,0.007236553422869657,0.1462938505033467
8,FP32,1,q,0.007520629269592407,0.15027839360515463
8,FP32,1,q,0.007815856707684091,0.1553462840418362
8,FP32,1,q,0.008122673500479712,0.1600372541692774
